instance,set,n_customers,capacity,vehicles,total_demand,min_vehicles,optimal,optimal_from_comment,sol_cost_recomputed
E-n13-k4,E,12,6000,4,18200,4,247.0,247.0,247
E-n22-k4,E,21,6000,4,22500,4,375.0,375.0,375
E-n23-k3,E,22,4500,3,10189,3,569.0,569.0,569
E-n30-k3,E,29,4500,3,12750,3,534.0,534.0,534
E-n31-k7,E,30,140,7,903,7,379.0,379.0,379
E-n33-k4,E,32,8000,4,29370,4,835.0,835.0,835
E-n51-k5,E,50,160,5,777,5,521.0,521.0,521
E-n76-k10,E,75,140,10,1364,10,830.0,830.0,830
E-n76-k14,E,75,100,14,1364,14,1021.0,1021.0,1021
E-n76-k7,E,75,220,7,1364,7,682.0,682.0,682
E-n76-k8,E,75,180,8,1364,8,735.0,,735
E-n101-k14,E,100,112,14,1458,14,1067.0,,1067
E-n101-k8,E,100,200,8,1458,8,815.0,,815
F-n45-k4,F,44,2010,4,7220,4,724.0,724.0,724
F-n72-k4,F,71,30000,4,114840,4,237.0,237.0,237
F-n135-k7,F,134,2210,7,14620,7,1162.0,1162.0,1162
M-n101-k10,M,100,200,10,1810,10,820.0,820.0,820
M-n121-k7,M,120,200,7,1375,7,1034.0,1034.0,1034
M-n151-k12,M,150,200,12,2235,12,1015.0,,1015
M-n200-k16,M,199,200,16,3186,16,1274.0,,1274
M-n200-k17,M,199,200,17,3186,16,1275.0,,1275
P-n16-k8,P,15,35,8,246,8,450.0,450.0,450
P-n19-k2,P,18,160,2,310,2,212.0,212.0,212
P-n20-k2,P,19,160,2,310,2,216.0,216.0,216
P-n21-k2,P,20,160,2,298,2,211.0,211.0,211
P-n22-k2,P,21,160,2,308,2,216.0,216.0,216
P-n22-k8,P,21,3000,8,22500,8,603.0,603.0,603
P-n23-k8,P,22,40,8,313,8,529.0,529.0,529
P-n40-k5,P,39,140,5,618,5,458.0,458.0,458
P-n45-k5,P,44,150,5,692,5,510.0,510.0,510
P-n50-k10,P,49,100,10,951,10,696.0,696.0,696
P-n50-k7,P,49,150,7,951,7,554.0,554.0,554
P-n50-k8,P,49,120,8,951,8,631.0,631.0,631
P-n51-k10,P,50,80,10,777,10,741.0,,741
P-n55-k10,P,54,115,10,1042,10,694.0,694.0,694
P-n55-k15,P,54,70,15,1042,15,989.0,989.0,989
P-n55-k7,P,54,170,7,1042,7,568.0,568.0,568
P-n55-k8,P,54,160,8,1042,7,588.0,588.0,588
P-n60-k10,P,59,120,10,1134,10,744.0,744.0,744
P-n60-k15,P,59,80,15,1134,15,968.0,968.0,968
P-n65-k10,P,64,130,10,1219,10,792.0,792.0,792
P-n70-k10,P,69,135,10,1313,10,827.0,827.0,827
P-n76-k4,P,75,350,4,1364,4,593.0,593.0,593
P-n76-k5,P,75,280,5,1364,5,627.0,627.0,627
P-n101-k4,P,100,400,4,1458,4,681.0,681.0,681
