instance,set,n_customers,seed,cost,optimal,gap,n_routes,k_reference,init_cost,init_gap,iterations,runtime,time_to_best,iter_to_best,time_limit,stop_reason
E-n13-k4,E,12,1,247,247.0,0.0,4,4,256,3.6437246963562755,30042,4.681213208008558,0.005116833024658263,42,15.0,stall_limit
E-n13-k4,E,12,2,247,247.0,0.0,4,4,251,1.6194331983805668,30077,4.856842249981128,0.011489541968330741,77,15.0,stall_limit
E-n13-k4,E,12,3,247,247.0,0.0,4,4,257,4.048582995951417,30058,4.862424458027817,0.0123103330261074,58,15.0,stall_limit
E-n13-k4,E,12,4,247,247.0,0.0,4,4,251,1.6194331983805668,30031,4.977925375045743,0.004086458007805049,31,15.0,stall_limit
E-n13-k4,E,12,5,247,247.0,0.0,4,4,257,4.048582995951417,30001,4.748911916976795,0.0004446249804459512,1,15.0,stall_limit
E-n22-k4,E,21,1,375,375.0,0.0,4,4,383,2.1333333333333333,30007,7.879656374978367,0.0020097499946132302,7,15.0,stall_limit
E-n22-k4,E,21,2,375,375.0,0.0,4,4,396,5.6,30094,8.153766708972398,0.029462417005561292,94,15.0,stall_limit
E-n22-k4,E,21,3,375,375.0,0.0,4,4,383,2.1333333333333333,30003,7.99246854201192,0.0009987500379793346,3,15.0,stall_limit
E-n22-k4,E,21,4,375,375.0,0.0,4,4,383,2.1333333333333333,30026,8.058559208991937,0.0053515839972533286,26,15.0,stall_limit
E-n22-k4,E,21,5,375,375.0,0.0,4,4,375,0.0,30000,8.002769500017166,0.0,0,15.0,stall_limit
E-n23-k3,E,22,1,569,569.0,0.0,3,3,570,0.1757469244288225,30001,12.529954707948491,0.001326874946244061,1,15.0,stall_limit
E-n23-k3,E,22,2,569,569.0,0.0,3,3,569,0.0,30000,12.601196457981132,0.0,0,15.0,stall_limit
E-n23-k3,E,22,3,569,569.0,0.0,3,3,570,0.1757469244288225,30039,12.760068749950733,0.01678258297033608,39,15.0,stall_limit
E-n23-k3,E,22,4,569,569.0,0.0,3,3,569,0.0,30000,12.517898625053931,0.0,0,15.0,stall_limit
E-n23-k3,E,22,5,569,569.0,0.0,3,3,569,0.0,30000,12.721541041973978,0.0,0,15.0,stall_limit
E-n30-k3,E,29,1,534,534.0,0.0,3,3,563,5.430711610486892,30416,14.936427709006239,0.18366412504110485,416,15.0,stall_limit
E-n30-k3,E,29,2,534,534.0,0.0,3,3,550,2.9962546816479403,30034,14.271380541962571,0.022718041960615665,34,15.0,stall_limit
E-n30-k3,E,29,3,534,534.0,0.0,3,3,539,0.9363295880149812,30171,14.86729170801118,0.07572687498759478,171,15.0,stall_limit
E-n30-k3,E,29,4,534,534.0,0.0,3,3,574,7.49063670411985,30831,15.000478542002384,0.622183249972295,1545,15.0,time_limit
E-n30-k3,E,29,5,534,534.0,0.0,3,3,568,6.367041198501872,30041,14.578660459024832,0.022226666973438114,41,15.0,stall_limit
E-n31-k7,E,30,1,379,379.0,0.0,7,7,503,32.71767810026385,30910,12.008687500027008,0.3749317090259865,910,15.0,stall_limit
E-n31-k7,E,30,2,379,379.0,0.0,7,7,565,49.07651715039578,31276,12.09597995801596,0.5053317910060287,1276,15.0,stall_limit
E-n31-k7,E,30,3,379,379.0,0.0,7,7,583,53.82585751978892,34228,12.982821084035095,1.564505917020142,4228,15.0,stall_limit
E-n31-k7,E,30,4,379,379.0,0.0,7,7,556,46.70184696569921,36368,13.96545266697649,2.348853625007905,6368,15.0,stall_limit
E-n31-k7,E,30,5,379,379.0,0.0,7,7,573,51.187335092348285,36229,14.087529542041011,2.3033504170016386,6229,15.0,stall_limit
E-n33-k4,E,32,1,835,835.0,0.0,4,4,868,3.9520958083832336,30267,14.866705624968745,0.17033891699975356,267,15.0,stall_limit
E-n33-k4,E,32,2,835,835.0,0.0,4,4,895,7.18562874251497,30029,14.824342084000818,0.013950625027064234,29,15.0,stall_limit
E-n33-k4,E,32,3,835,835.0,0.0,4,4,866,3.712574850299401,30451,14.794276874978095,0.21494308300316334,451,15.0,stall_limit
E-n33-k4,E,32,4,835,835.0,0.0,4,4,856,2.5149700598802394,30284,14.733680707984604,0.14384279202204198,284,15.0,stall_limit
E-n33-k4,E,32,5,835,835.0,0.0,4,4,867,3.8323353293413174,30106,14.81706904200837,0.04844729200704023,106,15.0,stall_limit
E-n51-k5,E,50,1,521,521.0,0.0,5,5,578,10.940499040307103,19817,15.000794207968283,0.10608829197008163,135,15.0,time_limit
E-n51-k5,E,50,2,521,521.0,0.0,5,5,570,9.404990403071018,19790,15.000320833001751,0.28392925002845004,384,15.0,time_limit
E-n51-k5,E,50,3,521,521.0,0.0,5,5,545,4.606525911708253,20227,15.000022167048883,0.8301755420397967,1046,15.0,time_limit
E-n51-k5,E,50,4,521,521.0,0.0,5,5,583,11.900191938579654,20292,15.00135695800418,0.3142733330023475,481,15.0,time_limit
E-n51-k5,E,50,5,521,521.0,0.0,5,5,564,8.253358925143955,20281,15.000284250010736,0.1729774579871446,276,15.0,time_limit
E-n76-k10,E,75,1,835,830.0,0.6024096385542169,10,10,941,13.373493975903614,18538,22.502448084007483,10.692962208995596,8933,22.5,time_limit
E-n76-k10,E,75,2,831,830.0,0.12048192771084337,10,10,913,10.0,19486,22.502005833026487,8.861632250016555,7727,22.5,time_limit
E-n76-k10,E,75,3,830,830.0,0.0,10,10,880,6.024096385542169,19217,22.50048191600945,8.256076875026338,7193,22.5,time_limit
E-n76-k10,E,75,4,835,830.0,0.6024096385542169,10,10,886,6.746987951807229,18684,22.500045708031394,9.286093166039791,7813,22.5,time_limit
E-n76-k10,E,75,5,835,830.0,0.6024096385542169,10,10,947,14.096385542168674,18671,22.503906500001904,11.470590708020609,9799,22.5,time_limit
E-n76-k14,E,75,1,1022,1021.0,0.0979431929480901,14,14,1200,17.53183153770813,22628,22.500239999964833,11.609488374961074,12747,22.5,time_limit
E-n76-k14,E,75,2,1021,1021.0,0.0,14,14,1093,7.051909892262488,22990,22.502175665984396,11.972563457966316,13338,22.5,time_limit
E-n76-k14,E,75,3,1021,1021.0,0.0,14,14,1079,5.680705190989226,22740,22.5021144169732,7.408227083971724,8351,22.5,time_limit
E-n76-k14,E,75,4,1024,1021.0,0.2938295788442703,14,14,1121,9.79431929480901,23269,22.500178915972356,11.40197804098716,12343,22.5,time_limit
E-n76-k14,E,75,5,1021,1021.0,0.0,14,14,1061,3.9177277179236043,22816,22.50044012500439,15.603212375019211,15947,22.5,time_limit
E-n76-k7,E,75,1,685,682.0,0.4398826979472141,7,7,722,5.865102639296188,16476,22.500147124985233,2.7611631249892525,1994,22.5,time_limit
E-n76-k7,E,75,2,685,682.0,0.4398826979472141,7,7,728,6.744868035190616,16355,22.50092679198133,0.6878289169981144,531,22.5,time_limit
E-n76-k7,E,75,3,682,682.0,0.0,7,7,720,5.571847507331379,16438,22.500478958012536,11.116021374997217,7782,22.5,time_limit
E-n76-k7,E,75,4,682,682.0,0.0,7,7,736,7.9178885630498534,16405,22.503395917010494,3.7109962080139667,2690,22.5,time_limit
E-n76-k7,E,75,5,682,682.0,0.0,7,7,724,6.158357771260997,16267,22.50021370901959,13.213387291994877,9376,22.5,time_limit
E-n76-k8,E,75,1,736,735.0,0.1360544217687075,8,8,766,4.217687074829932,17306,22.500075458025094,10.452041457989253,8080,22.5,time_limit
E-n76-k8,E,75,2,736,735.0,0.1360544217687075,8,8,805,9.523809523809524,17230,22.500279792002402,5.245123750006314,3827,22.5,time_limit
E-n76-k8,E,75,3,736,735.0,0.1360544217687075,8,8,790,7.482993197278912,17269,22.500868125003763,5.602876249991823,4282,22.5,time_limit
E-n76-k8,E,75,4,735,735.0,0.0,8,8,778,5.850340136054422,17469,22.501573624962475,14.791621333977673,11697,22.5,time_limit
E-n76-k8,E,75,5,736,735.0,0.1360544217687075,8,8,789,7.346938775510204,17520,22.501724208006635,9.174535666010343,7504,22.5,time_limit
E-n101-k14,E,100,1,1078,1067.0,1.0309278350515463,14,14,1130,5.904404873477039,14117,30.00018375000218,24.438855749962386,11675,30.0,time_limit
E-n101-k14,E,100,2,1067,1067.0,0.0,14,14,1128,5.716963448922212,14392,30.002227791992482,20.48395162500674,10439,30.0,time_limit
E-n101-k14,E,100,3,1067,1067.0,0.0,14,14,1132,6.091846298031865,14421,30.005889750027563,20.23805074999109,10173,30.0,time_limit
E-n101-k14,E,100,4,1067,1067.0,0.0,14,14,1164,9.090909090909092,14430,30.004567875002977,21.507681249990128,10734,30.0,time_limit
E-n101-k14,E,100,5,1078,1067.0,1.0309278350515463,14,14,1130,5.904404873477039,13991,30.001412166981027,12.661037374986336,6514,30.0,time_limit
E-n101-k8,E,100,1,817,815.0,0.24539877300613497,8,8,870,6.748466257668712,13719,30.00652308401186,0.694302375020925,313,30.0,time_limit
E-n101-k8,E,100,2,818,815.0,0.36809815950920244,8,8,893,9.570552147239264,13552,30.001477624988183,8.967806125001516,4339,30.0,time_limit
E-n101-k8,E,100,3,817,815.0,0.24539877300613497,8,8,907,11.28834355828221,13469,30.000492207997013,23.415232500003185,10763,30.0,time_limit
E-n101-k8,E,100,4,818,815.0,0.36809815950920244,8,8,900,10.429447852760736,13453,30.000124625046737,11.568247165996581,5481,30.0,time_limit
E-n101-k8,E,100,5,817,815.0,0.24539877300613497,8,8,901,10.552147239263803,13551,30.001706540992018,13.583546124980785,6667,30.0,time_limit
F-n45-k4,F,44,1,724,724.0,0.0,4,4,755,4.281767955801105,23410,15.00154216698138,0.057912083982955664,120,15.0,time_limit
F-n45-k4,F,44,2,724,724.0,0.0,4,4,737,1.7955801104972375,22900,15.000365250045434,0.24601983302272856,430,15.0,time_limit
F-n45-k4,F,44,3,724,724.0,0.0,4,4,745,2.9005524861878453,23611,15.000136667047627,0.09152608399745077,107,15.0,time_limit
