instance,set,n_customers,optimal,k_reference,seeds,best_cost,mean_cost,best_gap,mean_gap,worst_gap,std_gap,init_gap,mean_runtime,mean_time_to_best,mean_iterations,iters_per_sec,n_routes,solved_to_optimum
E-n13-k4,E,12,247.0,4,5,247.0,247.0,0.0,0.0,0.0,0.0,2.9959514170040484,4.825463441608008,0.006689558201469481,30041.8,6228.449087706377,4,1
E-n22-k4,E,21,375.0,4,5,375.0,375.0,0.0,0.0,0.0,0.0,2.4,8.017444066994358,0.007564500207081437,30026.0,3745.5116104425438,4,1
E-n23-k3,E,22,569.0,3,5,569.0,569.0,0.0,0.0,0.0,0.0,0.070298769771529,12.626131916581652,0.003621891583316028,30008.0,2376.7965468455013,3,1
E-n30-k3,E,29,534.0,3,5,534.0,534.0,0.0,0.0,0.0,0.0,4.644194756554307,14.730847792001441,0.18530379178700968,30298.6,2057.2316901980957,3,1
E-n31-k7,E,30,379.0,7,5,379.0,379.0,0.0,0.0,0.0,0.0,46.70184696569921,13.028094150219113,1.4193946918123401,33802.2,2594.3753686677646,7,1
E-n33-k4,E,32,835.0,4,5,835.0,835.0,0.0,0.0,0.0,0.0,4.2395209580838324,14.807214866788126,0.11830454181181267,30227.4,2041.422953878507,4,1
E-n51-k5,E,50,521.0,5,5,521.0,521.0,0.0,0.0,0.0,0.0,9.021113243761997,15.000555683206766,0.34148877500556407,20081.4,1338.710370512109,5,1
E-n76-k10,E,75,830.0,10,5,830.0,833.2,0.0,0.3855421686746988,0.6024096385542169,0.26832599338939866,10.048192771084338,22.501777608215342,9.713471041619778,18919.2,840.7871604104373,10,1
E-n76-k14,E,75,1021.0,14,5,1021.0,1021.8,0.0,0.07835455435847208,0.2938295788442703,0.11422040930157297,8.795298726738492,22.501029824779835,11.599093866581097,22888.6,1017.2246018495229,14,1
E-n76-k7,E,75,682.0,7,5,682.0,683.2,0.0,0.17595307917888564,0.4398826979472141,0.21549763132989835,6.451612903225807,22.501032500201838,6.297879383398685,16388.2,728.3310095797397,7,1
E-n76-k8,E,75,735.0,8,5,735.0,735.8,0.0,0.108843537414966,0.1360544217687075,0.054421768707483,6.884353741496599,22.500904241600075,9.053239691595081,17358.8,771.4710869166181,8,1
E-n101-k14,E,100,1067.0,14,5,1067.0,1071.4,0.0,0.41237113402061853,1.0309278350515463,0.5050494315016861,6.541705716963449,30.002856266801246,19.865915349987336,14270.2,475.6277256672026,14,1
E-n101-k8,E,100,815.0,8,5,817.0,817.4,0.24539877300613497,0.29447852760736193,0.36809815950920244,0.060110177737010495,9.717791411042946,30.002064816607163,11.645826858200598,13548.8,451.5953500979812,8,0
F-n45-k4,F,44,724.0,4,5,724.0,724.0,0.0,0.0,0.0,0.0,2.0994475138121547,15.000856775022111,0.15287470020120963,23499.6,1566.5500493875136,4,1
F-n72-k4,F,71,237.0,4,5,237.0,237.0,0.0,0.0,0.0,0.0,13.670886075949367,21.301548325014302,0.17950100019806997,19259.2,904.1221350584809,4,1
F-n135-k7,F,134,1162.0,7,5,1162.0,1162.6,0.0,0.05163511187607574,0.25817555938037867,0.10327022375215147,2.891566265060241,40.201984925195575,25.809427425207105,13766.0,342.4208645800582,7,1
M-n101-k10,M,100,820.0,10,5,820.0,820.0,0.0,0.0,0.0,0.0,0.5609756097560975,30.00228333339328,3.662924116803333,15854.6,528.4465328571846,10,1
M-n121-k7,M,120,1034.0,7,5,1035.0,1035.4,0.09671179883945841,0.13539651837524178,0.19342359767891681,0.047378911852672685,1.1411992263056092,36.00357958339155,15.837353191792499,13857.2,384.8841540420033,7,0
M-n151-k12,M,150,1015.0,12,5,1021.0,1022.2,0.5911330049261084,0.7093596059113301,0.8866995073891626,0.11489560383931625,11.251231527093596,45.009432858612854,33.846779625013006,14363.0,319.11094989619346,12,0
M-n200-k16,M,199,1274.0,16,5,1293.0,1313.0,1.4913657770800628,3.061224489795918,3.8461538461538463,0.924752054946508,16.153846153846153,59.70308725818759,54.97488842520397,18429.6,308.6878505307014,16,0
M-n200-k17,M,199,1275.0,17,5,1279.0,1288.6,0.3137254901960784,1.0666666666666667,1.7254901960784315,0.6046850279967493,9.96078431372549,59.70452650818042,50.31708989999024,15789.0,264.4522246240377,17,0
P-n16-k8,P,15,450.0,8,5,450.0,450.0,0.0,0.0,0.0,0.0,1.4666666666666668,3.804795483604539,0.0005978418048471212,30004.4,7886.980614003362,8,1
P-n19-k2,P,18,212.0,2,5,212.0,212.0,0.0,0.0,0.0,0.0,7.452830188679246,7.308987783407792,0.016476183210033923,30083.2,4119.021126169354,2,1
P-n20-k2,P,19,216.0,2,5,216.0,216.0,0.0,0.0,0.0,0.0,5.648148148148149,8.485950708203017,0.01057398320408538,30038.2,3542.107223526741,2,1
P-n21-k2,P,20,211.0,2,5,211.0,211.0,0.0,0.0,0.0,0.0,10.52132701421801,10.2693216167856,0.004135108378250152,30007.6,2923.765517228914,2,1
