instance,set,n_customers,seed,cost,optimal,gap,n_routes,k_reference,init_cost,init_gap,iterations,runtime,time_to_best,iter_to_best,time_limit,stop_reason,param,value
E-n33-k4,E,32,1,835,835.0,0.0,4,4,868,3.9520958083832336,1831,1.000941000005696,0.042207667022012174,58,1.0,time_limit,time_limit,1.0
E-n33-k4,E,32,2,835,835.0,0.0,4,4,895,7.18562874251497,2161,1.0001380000030622,0.16917391697643325,230,1.0,time_limit,time_limit,1.0
E-n33-k4,E,32,3,835,835.0,0.0,4,4,866,3.712574850299401,1929,1.0003601249773055,0.09691624995321035,130,1.0,time_limit,time_limit,1.0
E-n76-k8,E,75,1,738,735.0,0.40816326530612246,8,8,766,4.217687074829932,626,1.0005294580478221,0.5550105000147596,281,1.0,time_limit,time_limit,1.0
E-n76-k8,E,75,2,737,735.0,0.272108843537415,8,8,805,9.523809523809524,667,1.0001273340312764,0.747880625014659,467,1.0,time_limit,time_limit,1.0
E-n76-k8,E,75,3,737,735.0,0.272108843537415,8,8,790,7.482993197278912,670,1.0014060000539757,0.9479630410205573,631,1.0,time_limit,time_limit,1.0
E-n101-k14,E,100,1,1083,1067.0,1.499531396438613,14,14,1130,5.904404873477039,428,1.0058015829999931,0.6923899999819696,283,1.0,time_limit,time_limit,1.0
E-n101-k14,E,100,2,1093,1067.0,2.436738519212746,14,14,1128,5.716963448922212,416,1.000283458037302,0.9621933330199681,403,1.0,time_limit,time_limit,1.0
E-n101-k14,E,100,3,1087,1067.0,1.8744142455482662,14,14,1132,6.091846298031865,352,1.0006430840003304,0.7999592919950373,275,1.0,time_limit,time_limit,1.0
F-n72-k4,F,71,1,237,237.0,0.0,4,4,250,5.485232067510548,812,1.0025068749673665,0.01883608300704509,15,1.0,time_limit,time_limit,1.0
F-n72-k4,F,71,2,237,237.0,0.0,4,4,264,11.39240506329114,794,1.0028353750240058,0.6615625830017962,549,1.0,time_limit,time_limit,1.0
F-n72-k4,F,71,3,237,237.0,0.0,4,4,264,11.39240506329114,833,1.0020363749936223,0.7007095830049366,598,1.0,time_limit,time_limit,1.0
M-n121-k7,M,120,1,1039,1034.0,0.4835589941972921,7,7,1039,0.4835589941972921,303,1.001789249945432,0.0,0,1.0,time_limit,time_limit,1.0
M-n121-k7,M,120,2,1038,1034.0,0.38684719535783363,7,7,1051,1.644100580270793,325,1.0119357500225306,0.5510952909826301,193,1.0,time_limit,time_limit,1.0
M-n121-k7,M,120,3,1045,1034.0,1.0638297872340425,7,7,1049,1.4506769825918762,315,1.0007730000070296,0.5251809579785913,189,1.0,time_limit,time_limit,1.0
M-n200-k17,M,199,1,1323,1275.0,3.764705882352941,17,17,1410,10.588235294117647,269,1.017759540991392,0.733206250006333,221,1.0,time_limit,time_limit,1.0
M-n200-k17,M,199,2,1323,1275.0,3.764705882352941,17,17,1429,12.07843137254902,253,1.0021411660127342,0.9253878750023432,232,1.0,time_limit,time_limit,1.0
M-n200-k17,M,199,3,1319,1275.0,3.450980392156863,17,17,1370,7.450980392156863,277,1.0039613749831915,0.7188665000139736,206,1.0,time_limit,time_limit,1.0
P-n45-k5,P,44,1,510,510.0,0.0,5,5,556,9.019607843137255,1720,1.0005993749946356,0.03094420797424391,45,1.0,time_limit,time_limit,1.0
P-n45-k5,P,44,2,510,510.0,0.0,5,5,560,9.803921568627452,1528,1.0001878750044852,0.1278311669593677,222,1.0,time_limit,time_limit,1.0
P-n45-k5,P,44,3,510,510.0,0.0,5,5,561,10.0,1401,1.000563624955248,0.0289602919947356,29,1.0,time_limit,time_limit,1.0
P-n65-k10,P,64,1,792,792.0,0.0,10,10,840,6.0606060606060606,929,1.001051000028383,0.887542582990136,817,1.0,time_limit,time_limit,1.0
