config,instance,seed,gap
baseline,E-n33-k4,1,0.0
baseline,E-n33-k4,2,0.0
baseline,E-n33-k4,3,0.0
baseline,E-n33-k4,4,0.0
baseline,E-n33-k4,5,0.0
baseline,E-n76-k8,1,0.1360544217687075
baseline,E-n76-k8,2,0.1360544217687075
baseline,E-n76-k8,3,0.0
baseline,E-n76-k8,4,0.1360544217687075
baseline,E-n76-k8,5,0.1360544217687075
baseline,E-n101-k14,1,1.1246485473289598
baseline,E-n101-k14,2,1.1246485473289598
baseline,E-n101-k14,3,1.780693533270853
baseline,E-n101-k14,4,0.5623242736644799
baseline,E-n101-k14,5,1.1246485473289598
baseline,F-n72-k4,1,0.0
baseline,F-n72-k4,2,0.0
baseline,F-n72-k4,3,0.0
baseline,F-n72-k4,4,0.0
baseline,F-n72-k4,5,0.0
baseline,M-n121-k7,1,0.19342359767891681
baseline,M-n121-k7,2,0.19342359767891681
baseline,M-n121-k7,3,0.19342359767891681
baseline,M-n121-k7,4,0.2901353965183752
baseline,M-n121-k7,5,0.2901353965183752
baseline,M-n200-k17,1,1.6470588235294117
baseline,M-n200-k17,2,1.6470588235294117
baseline,M-n200-k17,3,1.8823529411764706
baseline,M-n200-k17,4,1.8823529411764706
baseline,M-n200-k17,5,1.9607843137254901
baseline,P-n45-k5,1,0.0
baseline,P-n45-k5,2,0.0
baseline,P-n45-k5,3,0.0
baseline,P-n45-k5,4,0.0
baseline,P-n45-k5,5,0.0
baseline,P-n65-k10,1,0.0
baseline,P-n65-k10,2,0.0
baseline,P-n65-k10,3,0.0
baseline,P-n65-k10,4,0.0
baseline,P-n65-k10,5,0.0
baseline,P-n101-k4,1,0.0
baseline,P-n101-k4,2,0.0
baseline,P-n101-k4,3,0.0
baseline,P-n101-k4,4,0.0
baseline,P-n101-k4,5,0.0
combined,E-n33-k4,1,0.0
combined,E-n33-k4,2,0.0
combined,E-n33-k4,3,0.0
combined,E-n33-k4,4,0.0
combined,E-n33-k4,5,0.0
combined,E-n76-k8,1,0.1360544217687075
combined,E-n76-k8,2,0.272108843537415
combined,E-n76-k8,3,0.272108843537415
combined,E-n76-k8,4,0.272108843537415
combined,E-n76-k8,5,0.272108843537415
combined,E-n101-k14,1,1.499531396438613
combined,E-n101-k14,2,1.3120899718837864
combined,E-n101-k14,3,1.4058106841611997
combined,E-n101-k14,4,1.218369259606373
combined,E-n101-k14,5,1.218369259606373
combined,F-n72-k4,1,0.0
combined,F-n72-k4,2,0.0
combined,F-n72-k4,3,0.0
combined,F-n72-k4,4,0.0
combined,F-n72-k4,5,0.0
combined,M-n121-k7,1,0.19342359767891681
combined,M-n121-k7,2,0.19342359767891681
combined,M-n121-k7,3,0.19342359767891681
combined,M-n121-k7,4,0.38684719535783363
combined,M-n121-k7,5,0.19342359767891681
combined,M-n200-k17,1,1.8823529411764706
combined,M-n200-k17,2,1.5686274509803921
combined,M-n200-k17,3,2.7450980392156863
combined,M-n200-k17,4,2.5098039215686274
combined,M-n200-k17,5,2.588235294117647
combined,P-n45-k5,1,0.0
combined,P-n45-k5,2,0.0
combined,P-n45-k5,3,0.0
combined,P-n45-k5,4,0.0
combined,P-n45-k5,5,0.0
combined,P-n65-k10,1,0.0
combined,P-n65-k10,2,0.0
combined,P-n65-k10,3,0.0
combined,P-n65-k10,4,0.0
combined,P-n65-k10,5,0.0
combined,P-n101-k4,1,0.0
combined,P-n101-k4,2,0.0
combined,P-n101-k4,3,0.0
combined,P-n101-k4,4,0.2936857562408223
combined,P-n101-k4,5,0.0
